EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2021/8965,"Woodbury Ridge Estate, Sutton",Under review,2022-06-02,2045-03-15,CAPITAL PLUS 1 WOODBURY RIDGE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=842c5a0a-2869-ed11-81ac-00224818abd2,2023-03-13
2021/9002,Townsville City Council Ross River Dam to Douglas Water Treatment Plant Pipeline Project,Under review,2022-06-01,2027-06-29,Townsville City Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=24418242-da66-ed11-9561-00224818a6aa,2023-03-13
2021/8902,VV Walsh Cold Stores Expansion,Under review,2022-05-12,2034-02-24,Rawling Road Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a385f295-160e-ed11-b83d-00224818a72b,2023-03-13
2020/8623,Bayswater Power Station Water Infrastructure Upgrade,Under review,2022-04-13,2038-12-30,AGL Macquarie Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c60da673-f766-ed11-9561-00224818a6aa,2023-03-13
2020/8768,Monaro Highway - Lanyon Drive Upgrade Package 1C,Under review,2022-03-14,2052-06-29,Transport Canberra and City Services,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ae533244-e866-ed11-9561-00224818a6aa,2023-03-13
2020/8676,Vulcan Complex Project,Offset 01,2022-03-08,2045-12-30,Vitrinite Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=59526eb3-f666-ed11-9561-00224818a6aa,2023-03-13
2020/8748,"Bolinda Road development, Campbellfield, Victoria",Offset 01,2022-03-07,2042-03-08,Bolinda Place Pty Ltd ATF Bolinda Place Unit Trust,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=111607b7-f166-ed11-9561-00224818a6aa,2023-03-13
2020/8755,"Karara Wind Farm Project, QLD",Under review,2022-03-06,2067-12-30,CleanCo Queensland Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4abe87d7-f066-ed11-9561-00224818a6aa,2023-03-13
2018/8340,"West Mt Cotton Quarry Expansion, Redland City, Qld",Offset 01,2022-03-02,2075-03-30,KARREMAN QUARRIES PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6366b153-fd66-ed11-9561-00224818a6aa,2023-03-13
2018/8383,"Perdaman Urea Project, near Karratha, WA",Under review,2022-02-25,2102-01-23,PERDAMAN CHEMICALS AND FERTILISERS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8b51dfef-fa66-ed11-9561-00224818a6aa,2023-03-13
