EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2012/6378,Continuation of Bengalla Mine,Under review,2015-05-27,2050-12-31,Bengalla Mining Company Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5395f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2012/6328,Kings Forest Residential Development,Under review,2015-05-21,2040-12-31,PROJECT 28 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f27672ae-2653-ec11-80cf-00505684c137,2023-02-17
2012/6328,Kings Forest Residential Development,Under review,2015-05-21,2040-12-31,PROJECT 28 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f27672ae-2653-ec11-80cf-00505684c137,2023-02-17
2012/6328,Kings Forest Residential Development,Under review,2015-05-21,2040-12-31,PROJECT 28 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f27672ae-2653-ec11-80cf-00505684c137,2023-02-17
2008/4444,Open Cut Mine and Two Underground Mines,Under review,2015-05-18,2065-12-31,MOOLARBEN COAL MINES PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=76ec23f2-05a9-e911-9566-005056842ad1,2023-02-17
2012/6617,"Eastern Creek Business Hub, NSW",Under review,2015-05-18,2035-01-01,WESTERN SYDNEY PARKLANDS TRUST,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9a95f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2014/7205,"Wonnerup North Mineral Sands Project, Busselton, WA",Under review,2015-05-11,2040-12-31,Cristal Mining Australia Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e78b126d-66d2-e811-a2e6-005056ba00a8,2023-02-17
2012/6422,"Koodaideri Iron Ore Mine & Infrastructure Project, WA",Under review,2015-05-09,2050-01-01,MOUNT BRUCE MINING PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d751c525-5fa6-ec11-80d2-00505684c137,2023-02-17
2014/7169,"Aquis Resort and Casino at The Great Barrier Reef, Qld",Under review,2015-04-30,2035-04-30,AQUIS RESORT AT THE GREAT BARRIER REEF PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5bad6d33-2253-ec11-80cf-00505684c137,2023-02-17
2014/7169,"Aquis Resort and Casino at The Great Barrier Reef, Qld",Under review,2015-04-30,2035-04-30,AQUIS RESORT AT THE GREAT BARRIER REEF PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5bad6d33-2253-ec11-80cf-00505684c137,2023-02-17
