EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2016/7724,"Residential development, Teviot Road, north Beaudesert, Qld",Under review,2020-09-27,2050-08-30,Celestino Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6b2d11f2-3640-ec11-80d1-00505684c563,2023-03-04
2017/7932,Vasse Diversion Drain Upgrade,Under review,2020-09-23,2035-07-27,WATER CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f5230a26-6e52-ec11-80d2-00505684c563,2023-03-04
2018/8300,"Bulga Coal Optimisation Project Modification, near Singleton, NSW",Under review,2020-09-21,2049-12-30,Ralph Northey,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8b27a30c-3353-ec11-80cf-00505684c137,2023-03-04
2019/8487,"Healesville - Koo Wee Rup Road Upgrade, Vic",Under review,2020-09-17,2040-12-30,DEPARTMENT OF TRANSPORT,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=be67e082-1e82-eb11-80c2-00505684c137,2023-03-04
2018/8338,"Moranbah North Extension Project, Moranbah, Qld",Under review,2020-09-17,2065-08-20,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ae1d5e47-3353-ec11-80cf-00505684c137,2023-03-04
2018/8338,"Moranbah North Extension Project, Moranbah, Qld",Under review,2020-09-17,2065-08-20,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ae1d5e47-3353-ec11-80cf-00505684c137,2023-03-04
2017/8004,"Shamrock Station Irrigation Project, west Kimberley region, WA",Under review,2020-09-09,2060-12-30,ARGYLE CATTLE COMPANY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=45063c39-6f52-ec11-80d2-00505684c563,2023-03-04
2018/8368,"Dulacca Renewable Energy Project, Dulacca QLD",Under review,2020-08-20,2055-07-31,Dulacca Energy Project Co Pty Ltd (ACN: 643 652 368) as a trustee for the Dulacca Energy Project Trust (ABN 88 538 950 644),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e3982a19-47e3-ea11-942e-00505684324c,2023-03-04
2019/8505,"Findon Road Extension, South Morang, VIC",Under review,2020-08-10,2045-06-29,CITY OF WHITTLESEA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0ce99152-1d82-eb11-80c2-00505684c137,2023-03-04
2019/8552,Chapman Street Residential Development,Under review,2020-07-28,2040-07-30,LENDLEASE COMMUNITIES (WERRINGTON) PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3d950739-7752-ec11-80cf-00505684c137,2023-03-04
