EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2018/8289,"Kaban Green Power Hub, Kaban, Qld",Under review,2020-04-20,2051-04-02,Kaban Wind Farm Pty Ltd (ACN 637 687 622) as trustee for the Kaban Wind Farm Trust,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1716c169-63e3-ea11-942e-00505684324c,2023-03-04
2017/7868,Olive Downs Project Water Pipeline,Under review,2020-04-13,2123-12-03,PEMBROKE RESOURCES SOUTH PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=50a3a70d-115a-eb11-82c9-00505684324c,2023-03-04
2017/7870,Olive Downs Project Rail Spur,Under review,2020-04-13,2123-12-03,PEMBROKE RESOURCES SOUTH PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e1e73f24-2e53-ec11-80cf-00505684c137,2023-03-04
2019/8428,"Industrial Subdivision, 16-36 Dohertys Road, Laverton North, Vic",Under review,2020-03-31,2040-04-06,DOHERTYS JUNCTION PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fc75f5d8-9477-ea11-962c-00505684324c,2023-03-04
2018/8243,"Peppertree Quarry Modification 5, Marulan South, NSW",Under review,2020-03-30,2038-12-30,BORAL RESOURCES (NSW) PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6018c419-7152-ec11-80d2-00505684c563,2023-03-04
2017/8059,"Greenbushes to Kirup Link, WA",Under review,2020-03-29,2024-06-29,WATER CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3b720877-59b7-ea11-97dc-00505684324c,2023-03-04
2018/8156,White Rock Wind Farm Modification,Under review,2020-03-17,2055-02-28,White Rock Wind Farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2ce1da48-2e69-ed11-81ac-00224818a758,2023-03-04
2017/8108,"Clearing of Vegetation for High Value Agriculture, Byrne Valley Station, Kirknie, Queensland",Under review,2020-02-26,2046-08-06,A.M HEATLEY & J.M HEATLEY & L.A HEATLEY & The Trustee For HEATLEY FAMILY TRUST,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a0bff423-3053-ec11-80cf-00505684c137,2023-03-04
2017/7950,Earl Grey Lithium Project,Under review,2020-02-20,2069-12-30,Covalent Lithium Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f3fac0d8-22dd-eb11-80c6-00505684c137,2023-03-04
2019/8440,"Residential Subdivision, 199 Range Road, Mittagong, NSW",Under review,2020-02-16,2025-01-30,David Mackie,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=79f4d6b9-7652-ec11-80cf-00505684c137,2023-03-04
