EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2019/8408,"Residential Development (Lot30, SP309195) Mountain Ridge Rd, South Maclean, Qld",Under review,2020-12-10,2045-11-29,Daleford Property Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=431107ca-ed27-ec11-80c9-00505684c137,2023-03-04
2017/8005,"Pacific Highway Upgrade - Coffs Harbour Bypass, NSW",Under review,2020-12-07,2100-12-17,TRANSPORT FOR NSW,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=aefa2b8c-6f52-ec11-80d2-00505684c563,2023-03-04
2019/8548,Isaac Plains East Extension,Under review,2020-12-03,2060-12-30,STANMORE IP COAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=534cf49f-9225-ec11-80c9-00505684c137,2023-03-04
2016/7698,"Widening maintenance zones for 3 roads, Wheatbelt region, WA",Under review,2020-12-02,2023-08-11,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8d492bcc-2c69-ed11-81ac-00224818a758,2023-03-04
2017/7875,"Woogaroo Heights master planned residential development, Springfield, Qld",Under review,2020-11-29,2033-11-29,Lendlease Communities (Springfield) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=89e177ec-f532-ec11-80d0-00505684c563,2023-03-04
2014/7376,Narrabri Gas Project,Under review,2020-11-23,2045-12-30,SANTOS NSW EASTERN PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f59c96d6-6552-ec11-80cf-00505684c137,2023-03-04
2017/8090,"Park Ridge residential, mixed use and medium impact industry precinct, Park Ridge, Queensland",Under review,2020-11-22,2045-06-29,Pointcorp Heritage Park Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=01e80430-012e-eb11-9650-005056842ad1,2023-03-04
2018/8296,"Lot 33 DP754405 and Lot 12 DP1091444 Subdivision, Kew, NSW",Under review,2020-11-18,2040-11-18,Jojeni Investments Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=859842a1-7552-ec11-80cf-00505684c137,2023-03-04
2015/7609,"Pacific View Estate Urban Development, Worongary, Qld",Under review,2020-11-15,2070-12-30,PERRON DEVELOPMENTS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=918b3755-1641-ec11-80d1-00505684c563,2023-03-04
2016/7842,"Port Macquarie Airport Master Plan implementation and development activities, NSW",Under review,2020-11-11,2049-12-31,Port Macquarie Hastings Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c7f1fbd9-5256-ec11-80d2-00505684c563,2023-03-04
