EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2015/7599,"Mt Gilead residential development, NSW",Under review,2018-12-20,2038-11-29,Lendlease Communities (Mt Gilead) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d0838856-60ac-ea11-8a09-00505684324c,2023-03-04
2015/7599,"Mt Gilead residential development, NSW",Under review,2018-12-20,2038-11-29,Lendlease Communities (Mt Gilead) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d0838856-60ac-ea11-8a09-00505684324c,2023-03-04
2015/7599,"Mt Gilead residential development, NSW",Under review,2018-12-20,2038-11-29,Lendlease Communities (Mt Gilead) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d0838856-60ac-ea11-8a09-00505684324c,2023-03-04
2015/7458,"Residential Development 822 Youle-Dean Road, Brabham, WA",Under review,2018-12-13,2026-12-30,Housing Authority,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=625aca7a-dab4-e911-ad32-00505684324c,2023-03-04
2016/7852,"Cabbage Tree Road Sand Quarry, Williamtown, NSW",Under review,2018-12-11,2033-12-30,Williamtown Sand Syndicate Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1a1db35f-dfa9-ea11-8a09-00505684324c,2023-03-04
2016/7665,"Toodyay Road widening and upgrade, WA",Under review,2018-12-03,2038-09-26,MAIN ROADS WA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fc598164-c610-ea11-84d3-00505684324c,2023-03-04
2016/7829,"Residential subdivision, Lot 2 DP1100181 Berkeley Road, Glenning Valley, NSW",Under review,2018-12-03,2028-12-30,GV Nominee No 1 Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f263e432-6c52-ec11-80d2-00505684c563,2023-03-04
2014/7400,"Bingara Gorge staged residential development, NSW",Under review,2018-12-02,2038-10-31,Metro Property Development,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c7c5519e-96ab-ea11-8a09-00505684324c,2023-03-04
2014/7400,"Bingara Gorge staged residential development, NSW",Under review,2018-12-02,2038-10-31,Metro Property Development,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c7c5519e-96ab-ea11-8a09-00505684324c,2023-03-04
2012/6538,"Cairns Shipping Development (Trinity Inlet) Project, QLD",Under review,2018-11-28,2028-09-29,Far North Queensland Ports Corporation Limited (t/a Ports North),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=511467d2-2a53-ec11-80cf-00505684c137,2023-03-04
