EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2017/7867,Olive Downs Project Mine Site and Access Road,Under review,2020-05-14,2123-12-04,PEMBROKE RESOURCES SOUTH PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c3479ed6-0e5a-eb11-82c9-00505684324c,2023-02-16
2017/8053,"Butler North District Open Space playing fields development, Wanneroo, WA",Under review,2020-05-12,2024-07-01,CITY OF WANNEROO,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=138da8f6-78c5-ea11-97dc-00505684324c,2023-02-16
2017/7869,Olive Downs Project Electricity Transmission Line,Under review,2020-04-30,2123-12-04,PEMBROKE RESOURCES SOUTH PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b6d502d2-2d53-ec11-80cf-00505684c137,2023-02-16
2018/8289,"Kaban Green Power Hub, Kaban, Qld",Under review,2020-04-21,2051-04-03,Kaban Wind Farm Pty Ltd (ACN 637 687 622) as trustee for the Kaban Wind Farm Trust,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1716c169-63e3-ea11-942e-00505684324c,2023-02-16
2017/7868,Olive Downs Project Water Pipeline,Under review,2020-04-14,2123-12-04,PEMBROKE RESOURCES SOUTH PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=50a3a70d-115a-eb11-82c9-00505684324c,2023-02-16
2017/7870,Olive Downs Project Rail Spur,Under review,2020-04-14,2123-12-04,PEMBROKE RESOURCES SOUTH PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e1e73f24-2e53-ec11-80cf-00505684c137,2023-02-16
2019/8428,"Industrial Subdivision, 16-36 Dohertys Road, Laverton North, Vic",Under review,2020-04-01,2040-04-07,DOHERTYS JUNCTION PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fc75f5d8-9477-ea11-962c-00505684324c,2023-02-16
2018/8243,"Peppertree Quarry Modification 5, Marulan South, NSW",Under review,2020-03-31,2038-12-31,BORAL RESOURCES (NSW) PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6018c419-7152-ec11-80d2-00505684c563,2023-02-16
2017/8059,"Greenbushes to Kirup Link, WA",Under review,2020-03-30,2024-06-30,WATER CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3b720877-59b7-ea11-97dc-00505684324c,2023-02-16
2018/8156,White Rock Wind Farm Modification,Under review,2020-03-18,2055-03-01,White Rock Wind Farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2ce1da48-2e69-ed11-81ac-00224818a758,2023-02-16
