EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2016/7755,"Staged redevelopment of 215 and 325C Cooper Street, Epping, Victoria",Under review,2019-05-24,2034-04-01,Bridley Epping Pty Ltd & Caruso Epping Unit Trust & Sterling Epping Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5c6e3c19-5085-eb11-80c5-00505684c563,2023-03-08
2018/8138,"Clearing and sand extraction, Lot 3 Buller Road, Waroona, WA",Under review,2019-05-21,2039-12-31,AMG (WA) PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5aced359-2d69-ed11-81ac-00224818a758,2023-03-08
2017/7881,"Spring Gully CSG North West and North East Development, Surat Basin, Qld",Under review,2019-04-15,2079-04-01,Australia Pacific LNG Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2a31f3b0-ef32-ec11-80d0-00505684c563,2023-03-08
2009/4906,Yeelirrie Uranium Mine,Under review,2019-04-10,2043-12-31,CAMECO AUSTRALIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=85dfc6af-2253-ec11-80cf-00505684c137,2023-03-08
2015/7550,Newcastle inner city bypass Rankin Park to Jesmond NSW,Under review,2019-04-05,2040-03-31,Roads and Maritime Services,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7f1d11a1-6352-ec11-80cf-00505684c137,2023-03-08
2016/7846,"Residential development and bushfire protection within part Lot 9006 Reilly Road, Harrisdale, WA",Under review,2019-03-17,2029-12-31,Satterley Reilly Rd Harrisdale Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=af95b749-a4b1-e911-9566-005056842ad1,2023-03-08
2015/7591,"Lee Point Master-planned urban development, Darwin, NT",Under review,2019-03-17,2035-12-31,Defence Housing Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ebe83121-49dc-ea11-942e-00505684324c,2023-03-08
2018/8237,"Kemerton SIA Road and Drainage project, near Australind, WA",Under review,2019-03-17,2030-06-30,WESTERN AUSTRALIAN LAND AUTHORITY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b8831f03-7152-ec11-80d2-00505684c563,2023-03-08
2017/8072,"Canberra Brickworks Precinct access road and Dudley Street upgrade, ACT",Under review,2019-02-27,2034-06-30,CMTEDD ACT PROCUREMENT,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cbb8c576-e58d-eb11-80c3-00505684c137,2023-03-08
2017/7934,Road Widening Kojonup South SLK 254.9 to SLK 259.8,Under review,2019-02-26,2038-12-31,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1e635c50-2e53-ec11-80cf-00505684c137,2023-03-08
