EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2017/7861,"Corunna Downs Iron Ore Mining Project, Pilbara Region, 33km south Marble Bar, WA",Under review,2018-02-22,2035-11-29,Atlas Iron Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=96ac5027-2156-ec11-80d2-00505684c563,2023-03-18
2016/7761,"Great Northern Highway, Muchea to Wubin Upgrade Stage 2-Walebing to Wubin",Under review,2018-02-18,2038-12-30,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f0b6720d-d615-e811-9fee-005056ba00a7,2023-03-18
2016/7761,"Great Northern Highway, Muchea to Wubin Upgrade Stage 2-Walebing to Wubin",Under review,2018-02-18,2038-12-30,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f0b6720d-d615-e811-9fee-005056ba00a7,2023-03-18
2016/7797,"Ormeau Quarry Expansion, 12km NW Oxenford, QLD",Under review,2018-02-15,2057-11-07,BORAL RESOURCES QLD PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=55481bfb-b3e3-e811-a978-005056ba00a8,2023-03-18
2011/5979,Port of Townsville - Port Expansion Project,Under review,2018-02-04,2058-01-30,Port of Townsville Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=01f53000-2653-ec11-80cf-00505684c137,2023-03-18
2017/7994,"Lockyer Energy Project, 2.5 km north of Gatton, QLD",Under review,2018-01-28,2047-01-29,CAPITAL PARTNERS AUSTRALIA PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3df1312a-a41e-e911-9956-005056ba00a8,2023-03-18
2011/5967,Mt Todd Gold Mine proposal to reopen and operate mine,Under review,2018-01-18,2040-12-30,VISTA GOLD AUSTRALIA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4fca32ac-6cae-ec11-80d3-00505684c137,2023-03-18
2016/7676,"First Nine Master planned residential development, Brookwater, Qld",Under review,2018-01-08,2038-12-20,Springfield Land Corporation Pty limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d5b57ec0-73d8-ea11-942e-00505684324c,2023-03-18
2016/7723,"Residential development, Rawlings Road, Ripley Valley",Under review,2018-01-08,2031-01-16,DEFENCE HOUSING AUSTRALIA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b26759d9-8ada-ea11-942e-00505684324c,2023-03-18
2016/7837,"Taxiway Zulu and Northern Compound Project, Melbourne Airport, Vic",Under review,2018-01-08,2030-06-29,Australia Pacific Airports (Melbourne) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a17a102e-dea7-eb11-80c4-00505684c137,2023-03-18
