EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2014/7388,"Cumner Road mixed use subdivision, Whiterock,Ripley Valley,Qld",Under review,2019-12-02,2044-12-31,Northrow (Qld) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4470e5a9-c27b-eb11-80c2-00505684c137,2023-03-18
2018/8257,"Furlong Rd Aged Care Facility Extension, St Albans, VIC",Under review,2019-11-27,2039-11-29,FRONDITHA CARE,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=11de205d-2082-eb11-80c2-00505684c137,2023-03-18
2017/7952,"Oakdale West Estate commercial development, NSW",Under review,2019-11-24,2039-12-30,GOODMAN PROPERTY SERVICES (AUST) PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=67b34571-6e52-ec11-80d2-00505684c563,2023-03-18
2018/8318,"Residential development, 19 Tickle Drive, Thirlmere NSW",Under review,2019-11-21,2029-08-12,COMMON GROUND PROPERTY (NSW) PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2bb14b93-9e77-ea11-962c-00505684324c,2023-03-18
2018/8206,"Greenbushes Lithium mine expansion, 80 km SE of Bunbury, WA",Under review,2019-11-13,2060-10-31,TALISON LITHIUM AUSTRALIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=30f790ec-b4b1-ea11-8a09-00505684324c,2023-03-18
2017/8119,"Muchea Industrial Precinct, Part of Lot 102 Great Northern Highway, Muchea, WA",Under review,2019-11-07,2049-12-30,SIRONA CAPITAL MANAGEMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9ed53c40-90b6-ea11-97dc-00505684324c,2023-03-18
2017/8078,"Six Mile Creek Dam Safety Upgrade Project, Qld",Under review,2019-11-06,2035-06-29,Queensland Bulk Water Supply authority,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8a80cdf2-2f53-ec11-80cf-00505684c137,2023-03-18
2018/8381,"Lot 7 Borrow Pits, Aldoga Road, Gladstone, Qld",Under review,2019-10-30,2045-06-29,RTA Yarwun Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=672b5f23-aee2-ea11-942e-00505684324c,2023-03-18
2017/7957,"MRA2C Project, South Walker Creek Operations",Under review,2019-10-29,2075-08-30,BHP Billiton Mitsui Coal Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b142082f-6731-ec11-80cd-00505684c137,2023-03-18
2015/7621,"Gingin Regional Landfill, Fernview Farms, WA",Under review,2019-10-23,2055-06-29,Fernview Environmental Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a8151ae7-6a1a-eb11-9650-005056842ad1,2023-03-18
