EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2009/4762,"Brighton Bypass, Northern Project",Under review,2009-08-28,2014-08-31,"Department of Infrastructure, Energy and Resources (DIER)",https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0b91f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2007/3480,Frankston Bypass,Under review,2009-08-20,2024-07-14,SOUTHERN AND EASTERN INTEGRATED TRANSPORT AUTHORITY SEITA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0a94f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2008/4126,Bush Boulevard proposal east of Plenty Valley Town Centre,Under review,2009-08-07,2029-07-31,Westfield,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4490f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2008/4126,Bush Boulevard proposal east of Plenty Valley Town Centre,Under review,2009-08-07,2029-07-31,Westfield,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4490f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2008/4621,"132kV Sub-Transmission Line, Tuggeranong",Under review,2009-08-07,2014-07-15,ActewAGL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d690f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2008/4443,"Develop a Nickel Sulphide Open Cut Mine, Underground Mine, and Associated Infra",Under review,2009-07-30,2014-08-03,WESTERN AREAS N.L,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=af90f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2007/3557,The Huntlee New Town,Under review,2009-06-29,2039-12-31,HUNTLEE HOLDINGS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4eebf57d-d550-ec11-80cf-00505684c137,2023-03-18
2007/3557,The Huntlee New Town,Under review,2009-06-29,2039-12-31,HUNTLEE HOLDINGS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4eebf57d-d550-ec11-80cf-00505684c137,2023-03-18
2008/4173,Southern Seawater Desalination Project,Under review,2009-06-24,2039-12-31,Water Corporation,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5490f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2008/4173,Southern Seawater Desalination Project,Under review,2009-06-24,2039-12-31,Water Corporation,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5490f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
