EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2019/8417,"Commercial Development, 210 Swann Drive, Derrimut, Vic",Under review,2019-10-22,2039-09-02,Air Trunk Pty Ltd as Trustee for the AirTrunk Melbourne Land Trust,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f98b9175-1f82-eb11-80c2-00505684c137,2023-03-18
2016/7843,"Extension of Mesa A/Warramboo Iron Ore Project, west of Pannawonica, WA",Under review,2019-10-15,2080-12-29,ROBE RIVER MINING CO PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f2b9dacf-2c53-ec11-80cf-00505684c137,2023-03-18
2016/7817,"Mirvac Greater Flagstone Project - Master Planned Development, Greenbank, Qld",Under review,2019-10-10,2040-07-30,Mirvac Queensland Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=371c5524-ec1f-eb11-9650-005056842ad1,2023-03-18
2017/8133,"Trieste 3D seismic survey, WA",Under review,2019-10-10,2034-08-31,BEACH ENERGY (OPERATIONS) LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4ea55ede-a80b-ec11-80cb-00505684c563,2023-03-18
2018/8167,"Commercial development, 410 Cooper Street and 315 O'Herns Road, Epping, VIC",Under review,2019-10-08,2032-12-30,AUSTRALAND C&I LAND HOLDINGS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=de4e8500-2182-eb11-80c2-00505684c137,2023-03-18
2017/8130,"Middlemount Coal Mine Western Extension Project, Qld",Under review,2019-10-07,2049-10-31,MIDDLEMOUNT COAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a375c127-a7e5-ea11-be57-005056842ad1,2023-03-18
2018/8299,"West Angelas Iron Ore Mine Deposits C, D and G, Pilbara, WA",Under review,2019-09-29,2100-12-30,ROBE RIVER MINING CO. PTY. LTD.,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0dea08e1-3253-ec11-80cf-00505684c137,2023-03-18
2017/8025,"Eliwana Railway Project, Pilbara region, WA",Under review,2019-09-24,2050-06-29,FORTESCUE METALS GROUP LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=72b8810e-3069-ed11-81ac-00224818a758,2023-03-18
2017/8024,"Eliwana Iron Ore Mine Project, Pilbara region, WA",Under review,2019-09-24,2050-06-29,FORTESCUE METALS GROUP LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6f4218e0-2e53-ec11-80cf-00505684c137,2023-03-18
2017/7864,Brand Highway Widening and Passing Lanes Project 34.83-164.3 SLK,Under review,2019-09-24,2039-06-15,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e115ca23-6d52-ec11-80d2-00505684c563,2023-03-18
