EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2017/8048,"Residential subdivision, Lot 101 DP 785139 Crest Road, Albion Park, NSW",Under review,2019-12-19,2039-03-30,Cavi Developments & Partners Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a91180a4-6f52-ec11-80d2-00505684c563,2023-03-18
2019/8464,"Agriculture Project - 'Marshlands', near Moree, NSW",Under review,2019-12-18,2035-12-30,Peter Boland,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2ab68e64-fa66-ed11-9561-00224818a6aa,2023-03-18
2019/8482,"Meteor Downs South Mine Rail Loop, Qld",Under review,2019-12-18,2044-12-30,SOJITZ COAL MINING PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=202d6d1a-8be2-ea11-942e-00505684324c,2023-03-18
2019/8418,"School for Special Purposes at Karabar High School, Queanbeyan, NSW",Under review,2019-12-18,2024-12-31,DEPARTMENT OF EDUCATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=18ad7487-7652-ec11-80cf-00505684c137,2023-03-18
2018/8228,"Stonehill Development Stages 22-24, Bacchus Marsh, Victoria",Under review,2019-12-12,2040-06-29,Devine Management Services Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e83509b2-2082-eb11-80c2-00505684c137,2023-03-18
2018/8142,"North East Link Project, Vic",Under review,2019-12-11,2039-10-02,DEPARTMENT OF ECONOMIC DEVELOPMENT JOBS TRANSPORT AND RESOURCES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0f54c28d-7052-ec11-80d2-00505684c563,2023-03-18
2018/8276,"Surat North CSG Project, Qld",Under review,2019-12-08,2082-12-30,QGC PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=12e006ea-ac5a-eb11-9650-005056842ad1,2023-03-18
2015/7600,"United and Wambo open cut coal mine project, Hunter Valley, NSW",Under review,2019-12-04,2052-12-30,United Collieries Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5a2e0d78-c25b-ec11-80cf-00505684c137,2023-03-18
2017/8085,"Hard Rock Quarry, Shenton Ridge, Wellington, WA",Under review,2019-12-04,2069-11-29,B. & J. CATALANO PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=eca20508-7052-ec11-80d2-00505684c563,2023-03-18
2017/8041,"Residential development of Lot 105 Stock Road, Lakelands, WA",Under review,2019-12-02,2049-12-30,Lot 105 Lakelands Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=101f841e-97b6-ea11-97dc-00505684324c,2023-03-18
