EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2017/8065,"Jim's Plain Renewable Energy Park, north-west Tasmania",Under review,2020-06-28,2070-04-30,UPC ROBBINS ISLAND PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=db3dbdbb-2f53-ec11-80cf-00505684c137,2023-03-18
2018/8246,"Jacaranda Ponds residential subdivision, Glossodia, NSW",Under review,2020-06-16,2040-06-18,CELESTINO PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=28dd6c8f-7152-ec11-80d2-00505684c563,2023-03-18
2018/8246,"Jacaranda Ponds residential subdivision, Glossodia, NSW",Under review,2020-06-16,2040-06-18,CELESTINO PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=28dd6c8f-7152-ec11-80d2-00505684c563,2023-03-18
2019/8590,Operation of Peel River Drought Protection Works,Under review,2020-06-11,2030-04-30,Water NSW,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=36a38f22-f866-ed11-9561-00224818a6aa,2023-03-18
2015/7438,"Sand Mining 70/915 Banksia Road, Wellard, WA",Under review,2020-06-02,2070-04-29,Hanson Construction Materials Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ce84d7c6-2353-ec11-80cf-00505684c137,2023-03-18
2015/7438,"Sand Mining 70/915 Banksia Road, Wellard, WA",Under review,2020-06-02,2070-04-29,Hanson Construction Materials Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ce84d7c6-2353-ec11-80cf-00505684c137,2023-03-18
2018/8223,"Surat Gas Project off-tenure pipelines, Surat Basin, Qld",Under review,2020-05-27,2080-12-30,ARROW ENERGY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=75f32afe-acd7-eb11-80c9-00505684c563,2023-03-18
2018/8262,"Yanchep Rail Extension, WA",Under review,2020-05-24,2040-04-29,Public Transport Authority of Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=eb82f8a9-3253-ec11-80cf-00505684c137,2023-03-18
2017/8052,"Latrobe River Bridge Replacement Project, Tyers Road, Vic",Under review,2020-05-19,2045-04-27,"Head, Transport for Victoria",https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cdd16050-b782-eb11-80c5-00505684c563,2023-03-18
2017/7867,Olive Downs Project Mine Site and Access Road,Under review,2020-05-13,2123-12-03,PEMBROKE RESOURCES SOUTH PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c3479ed6-0e5a-eb11-82c9-00505684324c,2023-03-18
